context_num,range,batch_num,piece_count
,811-844,batch_089,6
,,batch_090,7
,,batch_091,7
,,batch_092,5
,,batch_093,9
,845-877,batch_094,8
,,batch_095,8
,,batch_096,7
,,batch_097,5
,,batch_098,5
,878-895,batch_099,5
,,batch_100,5
,,batch_101,4
,896-910,batch_102,4
,,batch_103,3
,,batch_104,3
,,batch_105,5
,911-918,batch_106,4
,,batch_107,3
,,batch_108,2
,,batch_109,3
,919-929,batch_110,3
,,batch_111,4
,,batch_112,2
,,batch_113,2
,930-956,batch_114,6
,,batch_115,8
,,batch_116,10
,957-973,batch_117,3
,,batch_118,2
,,batch_119,6
,,batch_120,9
,974-999,batch_121,4
,,batch_122,7
,,batch_123,8
,,batch_124,3
,1000-1037,batch_125,4
,,batch_126,11
,,batch_127,11
,,batch_128,8
,,batch_129,8
,1038-1080,batch_130,6
,,batch_131,8
,,batch_132,10
,,batch_133,10
,,batch_134,9
,1081-1180,batch_135,1
,,batch_136,14
,,batch_137,15
,,batch_138,16
,,batch_139,17
,,batch_140,16
,,batch_141,12
,,batch_142,10
,1181-1328,batch_143,7
,,batch_144,14
,,batch_145,14
,,batch_146,12
,,batch_147,16
,,batch_148,16
,,batch_149,15
,,batch_150,16
,,batch_151,15
,,batch_152,14
,,batch_153,8
,1329-1334,batch_154,6
43,1-9,batch_000,1
,,batch_001,2
,,batch_002,6
,10-16,batch_003,7
44,1-10,batch_000,
,11-36,batch_001,
,37-62,batch_002,
,63-88,batch_003,
,89-100,batch_004,
45,1-24,batch_000,1
,,batch_001,5
,,batch_002,6
,,batch_003,2
,,batch_004,2
,,batch_005,3
,,batch_006,5
,25-31,batch_007,1
,,batch_008,3
,,batch_009,2
,,batch_010,1
,32,batch_011,1
,33-43,batch_012,4
,,batch_013,1
,,batch_014,1
,,batch_015,1
,,batch_016,1
,,batch_017,1
,,batch_018,1
,,batch_019,1
,44-47,batch_020,4
47,1-8,batch_000,6
,,batch_001,1
,,batch_002,1
,9-30,batch_003,16
,,batch_004,6
,31-45,batch_005,9
,,batch_006,6
50,1-4,batch_000,3
,,batch_001,1
51,89-148,batch_014,7
,,batch_015,10
,,batch_016,13
,,batch_017,16
,,batch_018,14
,149,batch_019,1
52,1-103,,
,104-150,,
,151-219,,
,22-250,,
,251-328,,
,329-486,,
,487-501,,
,502-507,,
,508-533,,
,534-570,,
53,1-62,,
,63-138,,
,139-172,,
54,1-9,batch_000,9
,10-27,batch_001,4
,,batch_002,6
,,batch_003,8
,28-55,batch_004,4
,,batch_005,6
,,batch_006,2
,,batch_007,6
,,batch_008,2
,,batch_009,8
,56-64,batch_010,9
,65-99,batch_011,8
,,batch_012,11
,,batch_013,16
,100-111,batch_014,5
,,batch_015,3
,,batch_016,2
,,batch_017,2
55,1-7,batch_000,1
,,batch_001,1
,,batch_002,1
,,batch_003,1
,,batch_004,3
56,1-10,batch_000,10
,11-23,batch_001,9
,,batch_002,4
57,1-21,batch_000,12
,,batch_001,9
,22-38,batch_002,10
,,batch_003,7
,39-90,batch_004,9
,,batch_005,10
,,batch_006,9
,,batch_007,9
,,batch_008,8
,,batch_009,4
,,batch_010,3
,91-158,batch_011,6
,,batch_012,8
,,batch_013,13
,,batch_014,14
,,batch_015,17
,,batch_016,10
,159-185,batch_017,6
,,batch_018,7
,,batch_019,5
,,batch_020,9
,186-197,batch_021,1
,,batch_022,3
,,batch_023,3
,,batch_024,2
,,batch_025,3
58,1-100,batch_000,10
,,batch_001,12
,,batch_002,13
,,batch_003,15
,,batch_004,14
,,batch_005,14
,,batch_006,15
,,batch_007,7
,101-140,batch_008,5
,,batch_009,6
,,batch_010,8
,,batch_011,5
,,batch_012,7
,,batch_013,4
,,batch_014,2
,,batch_015,1
,,batch_016,2
